dataset,algorithm,goal,run,round,test_acc,test_auc,train_loss
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,53,0.9691110333126868,,0.0915553121253852
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,54,0.9585543855869443,,0.10500398266423189
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,55,0.9551073169418038,,0.13144009931315634
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,56,0.9428002046697008,,0.16709974239411116
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,57,0.9210405838472517,,0.21988608073741173
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,58,0.953626154633345,,0.1182923457448211
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,59,0.9751972638892629,,0.07289197654608565
NSLKDD,FedAvg,nslkdd_fedavg_dnn,0,60,0.966444941157461,,0.09061528523879829
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,0,0.4808660759970915,,0.8432298843388316
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,1,0.5289903859101069,,0.7619484767801207
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,2,0.5268628982306843,,1.40962957586777
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,3,0.643686209032397,,4.695922184560846
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,4,0.5095467643336116,,4.588954997101478
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,5,0.5534160988877818,,2.1277201937276926
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,6,0.5300675948617133,,3.3134611873228854
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,7,0.7810303503622115,,0.6123674545249492
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,8,0.5324374545552474,,3.2841765380559034
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,9,0.8292623811703875,,0.31249138231668366
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,10,0.5315756873939622,,3.7267450621639844
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,11,0.6506880672178386,,3.2223146354583423
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,12,0.5860824603452455,,3.1813723689480313
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,13,0.5347803840249913,,4.288897951455608
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,14,0.6644763417984003,,2.0353371911875997
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,15,0.5964236662806668,,1.5493735143976974
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,16,0.55481647052487,,3.831092577753261
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,17,0.9321627662725878,,0.171735376891738
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,18,0.583793391323082,,3.378773847524823
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,19,0.6687582473810357,,2.7835701827183827
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,20,0.5390892198314168,,1.121991494285813
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,21,0.6734441063205235,,0.857072085931209
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,22,0.5886139013815205,,3.3013991644688443
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,23,0.512132065817467,,1.9765080859532556
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,24,0.6274742143107209,,1.0056399890348569
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,25,0.5579673067083187,,2.9928217324946047
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,26,0.5839280424420327,,3.7118145642912657
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,27,0.6160019389761129,,1.4032745806615183
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,28,0.8519645598254921,,0.6887650855657392
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,29,0.5620337705006329,,2.663839887471869
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,30,0.5884523200387796,,1.8607820874320409
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,31,0.5781649745509385,,2.017597584774375
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,32,0.8676918105189454,,0.4002377810032628
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,33,0.48385533083779925,,3.7613831101332504
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,34,0.5182990870654135,,1.6663689316626238
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,35,0.5641881884038457,,1.1686093566460394
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,36,0.8649718579161393,,0.42940566212917886
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,37,0.9183475614682358,,0.2436085455467408
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,38,0.5572940511135648,,1.2533362202978158
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,39,0.9213637465327337,,0.19724767411690466
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,40,0.675706245118897,,2.309822744632817
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,41,0.5038914173376781,,3.726683464673714
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,42,0.9159507715509115,,0.23929171208266134
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,43,0.5834432984138098,,2.136303984433779
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,44,0.5800770204400398,,2.1513504285851397
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,45,0.5611720033393478,,3.0787332143314767
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,46,0.5599870734925807,,3.5470751359776385
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,47,0.5909837610750546,,3.563853594137063
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,48,0.8130503864487114,,0.6159610396753004
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,49,0.9392723453531899,,0.180748721863376
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,50,0.5394393127406889,,3.4233165731127233
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,51,0.5821775778956723,,2.070802350295642
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,52,0.563918886165944,,3.386439420212764
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,53,0.9268844424097165,,0.21668224556975169
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,54,0.6089731505668812,,1.2545302915009178
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,55,0.9408612285568093,,0.18042915316326832
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,56,0.498316861013115,,1.821525256716519
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,57,0.4934424905070961,,1.6782828381723718
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,58,0.5517194947890017,,1.423862869622204
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,59,0.688363450300272,,1.8582726055979581
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.1,0,60,0.5338916866399159,,3.302492485567099
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,0,0.4808660759970915,,0.8432298843388316
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,1,0.5990358979883122,,0.6713953044387597
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,2,0.685832009263997,,0.6270221256438879
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,3,0.6434976974658659,,3.2896422344500524
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,4,0.5609027011014461,,1.381032370594607
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,5,0.6051759890124687,,1.839818989583826
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,6,0.6388118385263781,,3.3680543673997567
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,7,0.4832897961382059,,2.114504954575385
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,8,0.5420515444483344,,2.6174188292957865
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,9,0.6975735868365066,,1.2891375459275662
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,10,0.5323297336600867,,5.239024461002656
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,11,0.8571351627932028,,1.4446383532108076
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,12,0.6386771874074274,,2.959232544311967
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,13,0.5377965690894891,,4.589626613461478
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,14,0.7349527374572483,,2.289054872169718
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,15,0.5969353405326798,,1.2116576214049755
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,16,0.854630651980718,,0.39979393098701915
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,17,0.9372256483451378,,0.17986503839612086
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,18,0.6718013626693238,,2.6233205608486894
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,19,0.6670616432822557,,3.0227873987109932
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,20,0.9318126733633156,,0.19320233691737687
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,21,0.5955618991193817,,2.12361286629707
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,22,0.5985780841838796,,3.3952303983873464
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,23,0.6919990305119436,,0.6974509087316739
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,24,0.7750249104570059,,0.6026590754711273
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,25,0.6727977809495597,,2.1977204279738842
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,26,0.9187515148250882,,0.1963008126756946
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,27,0.601513478577007,,1.9855470414145007
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,28,0.8719737161015808,,0.5356876621316766
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,29,0.5631648398998196,,2.6218165467911567
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,30,0.6077882207201142,,2.743380951079356
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,31,0.9016238924945467,,0.25570980198756316
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,32,0.7304553900842916,,0.9986824801234367
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,33,0.5158215064767189,,3.5594608331933904
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,34,0.8089569924326071,,0.7581646489407625
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,35,0.6947189831147497,,1.7004812431774134
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,36,0.5905259472706218,,3.445361568793755
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,37,0.751110871731344,,1.4973568999617914
NSLKDD,FedAvg,nslkdd_fedavg_dnn_jr0.2,0,38,0.6379500713650931,,2.0219937008065494
